"fips_code","popsize"
"06017",188563
"06019",984521
"06021",27976
"06023",135940
"06025",180701
"06027",17977
"06029",887641
"06031",150691
"06033",64195
"06035",30818
"06037",10081570
"06039",155433
"06041",259943
"06043",17420
"06045",87224
"06047",271382
"06049",8907
"06051",14310
"06053",433410
"06055",139623
"06057",99244
"06059",3168044
"06061",385512
"06063",18660
"06065",2411439
"06067",1524553
"06069",60376
"06071",2149031
"06073",3316073
"06075",874961
"06077",742603
"06079",282165
"06081",767423
"06083",444829
"06085",1927470
"06087",273962
"06089",179212
"06091",3040
"06093",43468
"06095",441829
"06097",499772
"06099",543194
"06101",96109
"06103",63912
"06105",12700
"06107",461898
"06109",54045
"06111",847263
"06113",217352
"06115",76360
"08001",504108
"08003",16107
"08005",644560
"08007",13253
"08009",3561
"08011",5787
"08013",322510
"08014",67886
"08015",19557
"08017",2026
"08019",9495
"08021",8128
"08023",3745
"08025",5754
"08027",4776
"08029",30565
"08031",705576
"08033",1857
"08035",336041
"08037",54681
"08039",25717
"08041",698974
"08043",47321
"08045",59055
"08047",6018
"08049",15303
"08051",16802
"08053",857
"08055",6679
"08057",1261
"08059",574798
"08061",1489
"08063",7447
"08065",7751
"08067",55617
"08069",344786
"08071",14266
"08073",5585
"08075",22380
"08077",151218
"08079",824
"08081",13127
"08083",26031
"08085",41686
"08087",28517
"08089",18282
"08091",4796
"08093",17867
"08095",4290
"08097",17926
"08099",12022
"08101",165982
"08103",6384
"08105",11305
"08107",25072
"08109",6592
"08111",589
"08113",8049
"08115",2322
"08117",30649
"08119",24524
"08121",4868
"08123",305345
"08125",10003
"09001",943926
"09003",893561
"09005",182002
"09007",163053
"09009",857513
"09011",267390
"09013",151063
"09015",116566
"10001",176699
"10003",556165
"10005",224384
"11001",692683
"12001",265443
"12003",28211
"12005",182161
"12007",27317
"12009",585507
"12011",1926205
"12013",14362
"12015",181067
"12017",145169
"12019",211405
"12021",371453
"12023",69968
"12027",36903
"12029",16589
"12031",936186
"12033",313491
"12035",109801
"12037",11811
"12039",45945
"12041",17953
"12043",13516
"12045",15576
"12047",14326
"12049",27131
"12051",40732
"12053",186313
"12055",103437
"12057",1422278
"12059",19432
"12061",153989
"12063",47945
"12065",14161
"12067",8637
"12069",345867
"12071",737468
"12073",289770
"12075",40403
"12077",8345
"12079",18460
"12081",384213
"12083",353526
"12085",159065
"12086",2699428
"12087",75798
"12089",83098
"12091",203794
"12093",41144
"12095",1349746
"12097",351955
"12099",1465027
"12101",524602
"12103",964666
"12105",686218
"12107",73252
"12109",244674
"12111",312947
"12113",174755
"12115",419496
"12117",461402
"12119",125044
"12121",44046
"12123",21870
"12125",15303
"12127",536487
"12129",32321
"12131",68262
"12133",24764
"13001",18440
"13003",8239
"13005",11201
"13007",3132
"13009",45111
"13011",18708
"13013",78991
"13015",104919
"13017",17033
"13019",19152
"13021",153200
"13023",12807
"13025",18756
"13027",15590
"13029",37063
"13031",76120
"13033",22520
"13035",24090
"13037",6365
"13039",53231
"13043",10812
"13045",117183
"13047",66700
"13049",13040
"13051",288496
"13053",10560
"13055",24812
"13057",247515
"13059",126176
"13061",2951
"13063",283538
"13065",6686
"13067",751218
"13069",43021
"13071",45486
"13073",150705
"13075",17177
"13077",143260
"13079",12325
"13081",22713
"13083",16197
"13085",24536
"13087",26682
"13089",749323
"13091",20829
"13093",13736
"13095",89703
"13097",143316
"13099",10312
"13101",3981
"13103",60477
"13105",19166
"13107",22533
"13109",10687
"13111",25395
"13113",112303
"13115",97369
"13117",228383
"13119",22766
"13121",1036200
"13123",30414
"13125",2996
"13127",84470
"13129",57202
"13131",24828
"13133",17349
"13135",915046
"13137",44626
"13139",198667
"13141",8515
"13143",29227
"13145",34105
"13147",25773
"13149",11736
"13151",225356
"13153",153507
"13155",9320
"13157",67885
"13159",13916
"13161",15036
"13163",15618
"13165",8793
"13167",9691
"13169",28579
"13171",18672
"13173",10380
"13175",47405
"13177",29502
"13179",61349
"13181",7856
"13183",18692
"13185",115364
"13187",32402
"13189",21455
"13191",14174
"13193",13305
"13195",29218
"13197",8432
"13199",21106
"13201",5787
"13205",22244
"13207",27171
"13209",9058
"13211",18507
"13213",39724
"13215",195739
"13217",108079
"13219",38132
"13221",14931
"13223",159825
"13225",27145
"13227",31387
"13229",19250
"13231",18327
"13233",41908
"13235",11216
"13237",21691
"13239",2289
"13241",16645
"13243",6973
"13245",201852
"13247",89717
"13249",5221
"13251",13989
"13253",8321
"13255",65306
"13257",25750
"13259",6293
"13261",30064
"13263",6321
"13265",1611
"13267",25382
"13269",8116
"13271",16035
"13273",8737
"13275",44630
"13277",40541
"13279",26972
"13281",11617
"13283",6795
"13285",69919
"13287",7943
"13289",8229
"13291",23288
"13293",26236
"13295",69039
"13297",91442
"13299",35593
"13301",5297
"13303",20436
"13305",29788
"13307",2610
"13309",7928
"13311",29489
"13313",104237
"13315",8824
"13317",9844
"13319",9010
"13321",20494
"15001",199459
"15003",984821
"15005",66
"15007",71769
"15009",165979
"16001",456849
"16003",4097
"16005",85765
"16007",6000
"16009",9138
"16011",45839
"16013",22373
"16015",7378
"16017",43611
"16019",114392
"16021",11845
"16023",2581
"16025",1048
"16027",217633
"16029",6953
"16031",23690
"16033",913
"16035",8673
