"CityTown","StateTerritory","lat","lon","locality","state","county","Location"
"Armada","MI","42.844196","-82.884372","Armada","MI","Macomb County","Armada, MI"
"Armadillo","TX","35.221997","-101.831297","Amarillo","TX","Potter County","Armadillo, TX"
"Armonk","NY","41.126485","-73.714019","Armonk","NY","Westchester County","Armonk, NY"
"Arnaudville","LA","30.397697","-91.931506","Arnaudville","LA","St. Landry Parish","Arnaudville, LA"
"Arnold","MO","38.432832","-90.377619","Arnold","MO","Jefferson County","Arnold, MO"
"Arnold","PA","40.580067","-79.766715","Arnold","PA","Westmoreland County","Arnold, PA"
"Arroyo Grande","CA","35.118587","-120.590725","Arroyo Grande","CA","San Luis Obispo County","Arroyo Grande, CA"
"Arroyo High School","CA","34.093748","-118.02118","El Monte","CA","Los Angeles County","Arroyo High School, CA"
"Arvada","CO","39.802764","-105.087484","Arvada","CO","Jefferson County","Arvada, CO"
"Arvin","CA","35.201799","-118.833105","Arvin","CA","Kern County","Arvin, CA"
"Asbury Park","NJ","40.220391","-74.012082","Asbury Park","NJ","Monmouth County","Asbury Park, NJ"
"Ashburn","VA","39.043757","-77.487442","Ashburn","VA","Loudoun County","Ashburn, VA"
"Ashbury Park","NJ","40.220391","-74.012082","Asbury Park","NJ","Monmouth County","Ashbury Park, NJ"
"Ashbury","NJ","40.696119","-75.010407","Asbury","NJ","Warren County","Ashbury, NJ"
"Ashby","MA","42.677277","-71.818714","Ashby","MA","Middlesex County","Ashby, MA"
"Ashby","MN","46.093016","-95.81755","Ashby","MN","Grant County","Ashby, MN"
"Asheboro","NC","35.707915","-79.813645","Asheboro","NC","Randolph County","Asheboro, NC"
"Asheville","NC","35.595058","-82.551487","Asheville","NC","Buncombe County","Asheville, NC"
"Ashfield","MA","42.526474","-72.788426","Ashfield","MA","Franklin County","Ashfield, MA"
"Ashland","AL","33.273726","-85.836074","Ashland","AL","Clay County","Ashland, AL"
"Ashland","KY","38.478414","-82.637939","Ashland","KY","Boyd County","Ashland, KY"
"Ashland","OH","40.868668","-82.318218","Ashland","OH","Ashland County","Ashland, OH"
"Ashland","OR","42.194576","-122.709477","Ashland","OR","Jackson County","Ashland, OR"
"Ashland","VA","37.759032","-77.479984","Ashland","VA","Hanover County","Ashland, VA"
"Ashland","WI","46.592443","-90.883798","Ashland","WI","Ashland County","Ashland, WI"
"Ashtabula","OH","41.865053","-80.789809","Ashtabula","OH","Ashtabula County","Ashtabula, OH"
"Aspen","CO","39.191098","-106.817539","Aspen","CO","Pitkin County","Aspen, CO"
"Aston","PA","39.864819","-75.425732","Aston","PA","Delaware County","Aston, PA"
"Astoria","NY","40.764357","-73.923462",NA,"NY","Queens County","Astoria, NY"
"Astoria","OR","46.187884","-123.831253","Astoria","OR","Clatsop County","Astoria, OR"
"Astroia","OR","46.187884","-123.831253","Astoria","OR","Clatsop County","Astroia, OR"
"Atascadero","CA","35.489417","-120.670726","Atascadero","CA","San Luis Obispo County","Atascadero, CA"
"Atascocita","TX","29.998831","-95.176598","Atascocita","TX","Harris County","Atascocita, TX"
"Atchison","KS","39.563052","-95.121636","Atchison","KS","Atchison County","Atchison, KS"
"Athens County","OH","39.303031","-82.12784",NA,"OH","Athens County","Athens County, OH"
"Athens","AL","34.802866","-86.971674","Athens","AL","Limestone County","Athens, AL"
"Athens","GA","33.951935","-83.357567","Athens","GA","Clarke County","Athens, GA"
"Athens","IL","39.960883","-89.723994","Athens","IL","Menard County","Athens, IL"
"Athens","OH","39.32924","-82.101255","Athens","OH","Athens County","Athens, OH"
"Athens","TN","35.442851","-84.59299","Athens","TN","McMinn County","Athens, TN"
"Athens","TX","32.204873","-95.855521","Athens","TX","Henderson County","Athens, TX"
"Athens","WV","37.422341","-81.016199","Athens","WV","Mercer County","Athens, WV"
"Atherton","CA","37.461327","-122.197743","Atherton","CA","San Mateo County","Atherton, CA"
"Athol","MA","42.595933","-72.226738","Athol","MA","Worcester County","Athol, MA"
"Atka Island","AK","52.162147","-174.34464",NA,"AK","Aleutians West","Atka Island, AK"
"Atlana","GA","33.748995","-84.387982","Atlanta","GA","Fulton County","Atlana, GA"
"Atlanta","GA","33.748995","-84.387982","Atlanta","GA","Fulton County","Atlanta, GA"
"Atlantic Beach","NC","34.69905","-76.740211","Atlantic Beach","NC","Carteret County","Atlantic Beach, NC"
"Atlantic City","NJ","39.364283","-74.422927","Atlantic City","NJ","Atlantic County","Atlantic City, NJ"
"Atlantic","IA","41.403601","-95.013878","Atlantic","IA","Cass County","Atlantic, IA"
"Atoka","OK","34.385926","-96.128325","Atoka","OK","Atoka County","Atoka, OK"
"Attleboro","MA","41.944544","-71.285608","Attleboro","MA","Bristol County","Attleboro, MA"
"Atwater","CA","37.347717","-120.609084","Atwater","CA","Merced County","Atwater, CA"
"Atwood","TN","35.973121","-88.678114","Atwood","TN","Carroll County","Atwood, TN"
"Auburn Hills","MI","42.687532","-83.234103","Auburn Hills","MI","Oakland County","Auburn Hills, MI"
"Auburn","AL","32.609857","-85.480782","Auburn","AL","Lee County","Auburn, AL"
